timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5
1775495047543,69565.37000000,0.60376000,69565.13000000,0.00000000,69565.12000000,0.00000000,69563.83000000,0.00000000,69563.46000000,0.00000000,69565.38000000,2.80335000,69565.39000000,0.00000000,69565.42000000,0.00000000,69565.93000000,0.00000000,69567.76000000,0.15712000
1775495047643,69565.37000000,1.01929000,69564.45000000,0.00000000,69563.16000000,0.00000000,69563.15000000,0.00000000,69561.50000000,1.79317000,69565.38000000,2.80343000,69567.78000000,0.08289000,69567.82000000,0.05373000,69570.24000000,0.00000000,69572.19000000,0.04726000
1775495047743,69565.37000000,1.67300000,69562.37000000,0.02498000,69562.36000000,0.08281000,69558.88000000,0.00008000,69558.41000000,0.00444000,69565.38000000,2.80343000,69565.39000000,0.00040000,69567.75000000,0.00016000,69567.76000000,0.02704000,69567.77000000,0.00016000
1775495047843,69565.37000000,1.67316000,69562.98000000,0.00015000,69562.38000000,0.00024000,69562.37000000,0.02506000,69562.36000000,0.08289000,69565.38000000,2.32256000,69567.78000000,0.08297000,69570.55000000,0.00016000,69570.56000000,0.11528000,69572.62000000,0.05891000
1775495047944,69565.37000000,1.67300000,69564.96000000,0.08281000,69562.36000000,0.00008000,69551.06000000,1.72690000,69547.45000000,0.08873000,69565.38000000,2.26903000,69570.55000000,0.00000000,69570.56000000,0.11512000,69572.19000000,0.12772000,69574.77000000,0.22845000
1775495048043,69565.37000000,1.67308000,69564.98000000,0.00024000,69564.97000000,0.03255000,69564.96000000,0.08289000,69562.38000000,0.00008000,69565.38000000,2.25263000,69570.55000000,0.00000000,69570.56000000,0.11512000,69574.77000000,0.00000000,69576.64000000,0.00000000
1775495048142,69565.37000000,1.67300000,69564.97000000,0.03263000,69564.96000000,0.08289000,69562.97000000,0.00000000,69562.38000000,0.00000000,69565.38000000,2.25255000,69565.39000000,0.00032000,69567.76000000,0.00000000,69567.77000000,0.00000000,69567.78000000,0.00016000
1775495048243,69565.37000000,1.67267000,69564.45000000,0.00008000,62608.84000000,0.00486000,55652.30000000,0.00000000,,,69565.38000000,2.25231000,69565.39000000,0.00024000,69567.75000000,0.00000000,69569.13000000,0.08281000,69570.25000000,0.00016000
1775495048342,69564.97000000,0.00008000,69564.96000000,0.00008000,62608.84000000,0.00486000,,,,,69565.38000000,2.25239000,69565.39000000,0.00024000,69569.12000000,0.00016000,69570.25000000,0.00000000,69570.55000000,0.00000000
1775495048442,69565.37000000,1.72668000,69564.98000000,0.00000000,69564.97000000,0.00000000,69564.96000000,0.00000000,69554.37000000,0.36588000,69582.46000000,0.08333000,69623.61000000,0.00359000,70608.87000000,0.00095000,,,,
1775495048543,69529.02000000,0.02000000,69528.06000000,0.02000000,69482.93000000,0.00000000,62608.84000000,0.00486000,55652.30000000,0.00035000,69570.25000000,0.00016000,69570.55000000,0.00016000,69570.56000000,0.11528000,69576.63000000,0.00000000,,
1775495048642,69554.02000000,0.09350000,69550.12000000,0.00008000,69545.72000000,0.56927000,69537.19000000,0.00000000,69534.12000000,0.00000000,69570.25000000,0.00016000,69570.55000000,0.00000000,69570.56000000,0.11512000,69577.95000000,0.00008000,,
1775495048742,69564.45000000,0.00000000,69554.37000000,0.36596000,69535.98000000,0.29213000,69503.68000000,0.18316000,69468.68000000,0.00008000,69565.38000000,2.67435000,69569.12000000,0.00016000,69570.25000000,0.00000000,69570.26000000,0.00000000,69574.77000000,0.00000000
1775495048843,69557.94000000,0.00856000,69550.60000000,0.00000000,69483.88000000,0.00343000,69402.79000000,0.00000000,62608.84000000,0.00486000,69570.55000000,0.00000000,69570.56000000,0.11512000,69572.19000000,0.04726000,,,,
1775495048942,69565.37000000,1.63319000,69565.36000000,0.00040000,69559.35000000,0.21252000,69557.99000000,0.01609000,69557.98000000,0.01471000,69565.38000000,2.67411000,69565.39000000,0.00000000,69569.12000000,0.00000000,69570.27000000,0.25099000,69572.19000000,0.12731000
1775495049043,69559.35000000,0.21252000,69557.99000000,0.01617000,69554.37000000,0.36588000,69551.10000000,0.54964000,69542.32000000,0.00000000,69565.38000000,2.67403000,69567.78000000,0.00008000,69569.13000000,0.08289000,69570.26000000,0.19096000,69570.27000000,0.00015000
1775495049143,69565.37000000,1.63311000,69551.12000000,1.10284000,69551.11000000,1.72690000,69551.10000000,0.00000000,69541.99000000,0.08882000,69565.38000000,2.67130000,69570.25000000,0.22633000,69570.26000000,0.11609000,69576.64000000,0.24100000,69579.57000000,0.10855000
1775495049243,69548.90000000,0.02000000,69542.73000000,0.10373000,69541.99000000,0.00000000,69540.55000000,0.00000000,69263.11000000,1.02618000,69569.13000000,0.08297000,69570.23000000,0.24782000,69570.24000000,0.19665000,69570.25000000,0.00000000,69570.26000000,0.00000000
1775495049344,69543.59000000,0.11527000,69542.73000000,0.00000000,62608.84000000,0.00486000,,,,,69569.13000000,0.08305000,69570.21000000,0.21129000,69570.22000000,0.19394000,69570.23000000,0.00000000,69570.24000000,0.01300000
